year,storm, dates , max_winds_mph , min_pressure_mb , maximum_strength 
2000,ERNESTO,9/1 - 9/3,35,1008,Tropical Storm
2000,FLORENCE,9/10 - 9/17,70,985,Hurricane
2000,GORDON,9/14 - 9/21,70,981,Hurricane
2000,HELENE,9/15 - 9/25,60,986,Tropical Storm
2000,ISAAC,9/21 - 10/4,120,943,Hurricane
2000,JOYCE,9/25 - 10/2,80,975,Hurricane
2000,KEITH,9/28 - 10/6,120,939,Hurricane
2000,LESLIE,10/4 - 10/10,60,973,Tropical Storm
2000,MICHAEL,10/15 - 10/20,85,965,Hurricane
2000,NADINE,10/19 - 10/22,50,999,Tropical Storm
2000,NOT_NAMED,10/25 - 10/29,55,976,Extratropical
2000,NOT_NAMED,9/8 - 9/9,30,1008,Tropical Depression
2000,NOT_NAMED,8/8 - 8/11,30,1009,Tropical Depression
2000,NOT_NAMED,6/23 - 6/25,30,1008,Tropical Depression
2000,NOT_NAMED,6/7 - 6/8,25,1008,Tropical Depression
1999,ARLENE,6/11 - 6/18,50,1006,Tropical Storm
1999,BRET,8/18 - 8/25,125,944,Hurricane
1999,CINDY,8/19 - 8/31,120,942,Hurricane
1999,DENNIS,8/24 - 9/8,90,962,Hurricane
1999,EMILY,8/24 - 8/28,45,1004,Tropical Storm
1999,FLOYD,9/7 - 9/19,135,921,Hurricane
1999,GERT,9/11 - 9/23,130,930,Hurricane
1999,HARVEY,9/19 - 9/22,50,994,Tropical Storm
1999,IRENE,10/12 - 10/19,95,958,Hurricane
1999,JOSE,10/17 - 10/25,85,979,Hurricane
1999,KATRINA,10/28 - 11/1,35,999,Tropical Storm
1999,LENNY,11/13 - 11/23,135,933,Hurricane
1999,NOT_NAMED,10/6 - 10/8,30,1007,Tropical Depression
1999,NOT_NAMED,10/4 - 10/6,30,1002,Tropical Depression
1999,NOT_NAMED,9/5 - 9/7,30,1006,Tropical Depression
1999,NOT_NAMED,7/2 - 7/3,30,1004,Tropical Depression
1998,ALEX,7/27 - 8/2,45,1002,Tropical Storm
1998,BONNIE,8/19 - 8/31,100,954,Hurricane
1998,CHARLEY,8/21 - 8/24,60,1000,Tropical Storm
1998,DANIELLE,8/24 - 9/8,90,960,Hurricane
1998,EARL,8/31 - 9/8,85,964,Hurricane
1998,FRANCES,9/8 - 9/13,55,990,Tropical Storm
1998,GEORGES,9/15 - 10/1,135,937,Hurricane
1998,HERMINE,9/17 - 9/20,40,999,Tropical Storm
1998,IVAN,9/19 - 9/27,80,975,Hurricane
1998,JEANNE,9/21 - 10/4,90,969,Hurricane
1998,KARL,9/23 - 9/29,90,970,Hurricane
1998,LISA,10/5 - 10/10,65,995,Hurricane
1998,MITCH,10/22 - 11/9,155,905,Hurricane
1998,NICOLE,11/24 - 12/2,75,979,Hurricane
1997,ANA,6/30 - 7/5,40,1000,Tropical Storm
1997,BILL,7/11 - 7/13,65,986,Hurricane
1997,CLAUDETTE,7/13 - 7/16,40,1003,Tropical Storm
1997,DANNY,7/16 - 7/27,70,984,Hurricane
1997,ERIKA,9/3 - 9/19,110,946,Hurricane
1997,FABIAN,10/4 - 10/8,40,1004,Tropical Storm
1997,GRACE,10/14 - 10/17,40,999,Tropical Storm
1997,NOT_NAMED,7/17 - 7/19,30,1008,Tropical Depression
1997,NOT_NAMED,5/31 - 6/2,45,1003,Tropical Low
1996,ARTHUR,6/17 - 6/23,45,992,Tropical Storm
1996,BERTHA,7/5 - 7/17,100,960,Hurricane
1996,CESAR,7/24 - 7/28,75,985,Hurricane
1996,DOLLY,8/19 - 8/25,70,989,Hurricane
1996,EDOUARD,8/19 - 9/6,125,933,Hurricane
1996,FRAN,8/23 - 9/10,105,946,Hurricane
1996,GUSTAV,8/26 - 9/2,40,1005,Tropical Storm
1996,HORTENSE,9/3 - 9/16,120,935,Hurricane
1996,ISIDORE,9/24 - 10/2,100,960,Hurricane
1996,JOSEPHINE,10/4 - 10/16,60,970,Tropical Storm
1996,KYLE,10/11 - 10/12,45,1001,Tropical Storm
1996,LILI,10/14 - 10/29,100,960,Hurricane
1996,MARCO,11/13 - 11/26,65,983,Hurricane
1995,ALLISON,6/3 - 6/11,65,982,Hurricane
1995,BARRY,7/5 - 7/10,60,989,Tropical Storm
1995,CHANTAL,7/12 - 7/22,60,991,Tropical Storm
1995,DEAN,7/28 - 8/2,40,999,Tropical Storm
1995,ERIN,7/31 - 8/6,85,973,Hurricane
1995,FELIX,8/8 - 8/25,120,929,Hurricane
1995,GABRIELLE,8/9 - 8/12,60,988,Tropical Storm
1995,HUMBERTO,8/22 - 9/1,95,968,Hurricane
1995,IRIS,8/22 - 9/7,95,957,Hurricane
1995,JERRY,8/22 - 8/28,35,1002,Tropical Storm
1995,KAREN,8/26 - 9/3,45,1000,Tropical Storm
1995,LUIS,8/28 - 9/12,130,935,Hurricane
1995,MARILYN,9/12 - 10/1,100,949,Hurricane
1995,NOEL,9/26 - 10/7,65,987,Hurricane
1995,NOT_NAMED,9/9 - 9/13,30,1008,Tropical Depression
1995,NOT_NAMED,8/5 - 8/7,30,1002,Tropical Depression
1995,OPAL,9/27 - 10/6,130,916,Hurricane
1995,PABLO,10/4 - 10/8,50,994,Tropical Storm
1995,ROXANNE,10/7 - 10/21,100,956,Hurricane
1995,SEBASTIEN,10/20 - 10/25,55,1001,Tropical Storm
1995,TANYA,10/27 - 11/3,75,970,Hurricane
1994,ALBERTO,6/30 - 7/7,55,993,Tropical Storm
1994,BERYL,8/14 - 8/19,50,999,Tropical Storm
1994,CHRIS,8/16 - 8/23,70,979,Hurricane
1994,DEBBY,9/9 - 9/11,60,1006,Tropical Storm
1994,ERNESTO,9/21 - 9/26,50,997,Tropical Storm
1994,FLORENCE,11/2 - 11/8,95,972,Hurricane
1994,GORDON,11/8 - 11/21,75,980,Hurricane
1994,NOT_NAMED,9/29 - 9/30,30,1004,Tropical Depression
1994,NOT_NAMED,9/27 - 9/29,30,1007,Tropical Depression
1994,NOT_NAMED,9/24 - 9/26,30,1004,Tropical Depression
1994,NOT_NAMED,8/29 - 8/31,30,1005,Tropical Depression
1994,NOT_NAMED,7/20 - 7/21,30,1015,Tropical Depression
1993,ARLENE,6/18 - 6/21,35,1000,Tropical Storm
1993,BRET,8/4 - 8/11,50,1002,Tropical Storm
1993,CINDY,8/14 - 8/17,40,1007,Tropical Storm
1993,DENNIS,8/23 - 8/28,45,1000,Tropical Storm
1993,EMILY,8/22 - 9/6,100,960,Hurricane
1993,FLOYD,9/7 - 9/13,70,966,Hurricane
1993,GERT,9/14 - 9/26,85,970,Hurricane
1993,HARVEY,9/18 - 9/21,65,990,Hurricane
1993,NOT_NAMED,9/29 - 9/30,30,1008,Tropical Depression
1993,NOT_NAMED,5/31 - 6/3,35,999,Tropical Depression
1992,ANDREW,8/16 - 8/28,150,922,Hurricane
1992,BONNIE,9/17 - 10/2,95,965,Hurricane
1992,CHARLEY,9/21 - 9/29,95,965,Hurricane
1992,DANIELLE,9/22 - 9/26,55,1001,Tropical Storm
1992,EARL,9/26 - 10/3,55,990,Tropical Storm
1992,FRANCES,10/22 - 10/30,75,976,Hurricane
1992,NOT_NAMED,9/25 - 10/1,30,1008,Tropical Depression
1992,NOT_NAMED,7/24 - 7/26,30,1015,Tropical Depression
1992,NOT_NAMED,6/25 - 6/26,30,1007,Tropical Depression
1992,NOT_NAMED,4/21 - 4/24,45,1002,Subtropical Storm
1991,ANA,6/29 - 7/5,45,1000,Tropical Storm
1991,BOB,8/16 - 8/29,100,950,Hurricane
1991,CLAUDETTE,9/4 - 9/14,115,944,Hurricane
1991,DANNY,9/7 - 9/11,45,998,Tropical Storm
1991,ERIKA,9/8 - 9/12,50,997,Tropical Storm
1991,FABIAN,10/15 - 10/17,40,1002,Tropical Storm
1991,GRACE,10/25 - 10/29,90,980,Hurricane
1991,NOT_NAMED,10/28 - 11/2,65,972,Hurricane
1991,NOT_NAMED,10/24 - 10/25,25,1009,Tropical Depression
1991,NOT_NAMED,8/28 - 8/31,30,,Tropical Depression
1991,NOT_NAMED,8/24 - 8/26,30,1009,Tropical Depression
1991,NOT_NAMED,7/5 - 7/7,30,,Tropical Depression
1990,ARTHUR,7/22 - 7/27,60,995,Tropical Storm
1990,BERTHA,7/24 - 8/2,70,973,Hurricane
1990,CESAR,7/31 - 8/7,45,1000,Tropical Storm
1990,DIANA,8/4 - 8/9,85,980,Hurricane
1990,EDOUARD,8/2 - 8/13,40,1003,Tropical Storm
1990,FRAN,8/11 - 8/14,35,1007,Tropical Storm
1990,GUSTAV,8/24 - 9/3,105,956,Hurricane
1990,HORTENSE,8/25 - 8/31,55,993,Tropical Storm
1990,ISIDORE,9/4 - 9/17,85,978,Hurricane
1990,JOSEPHINE,9/21 - 10/6,75,980,Hurricane
1990,KLAUS,10/3 - 10/9,70,985,Hurricane
1990,LILI,10/6 - 10/15,65,987,Hurricane
1990,MARCO,10/9 - 10/13,55,989,Tropical Storm
1990,NANA,10/16 - 10/21,75,989,Hurricane
1990,NOT_NAMED,9/18 - 9/27,30,,Tropical Depression
1990,NOT_NAMED,5/24 - 5/26,25,,Tropical Depression
1989,ALLISON,6/24 - 7/1,45,999,Tropical Storm
1989,BARRY,7/9 - 7/14,45,1005,Tropical Storm
1989,CHANTAL,7/30 - 8/3,70,984,Hurricane
1989,DEAN,7/31 - 8/9,90,968,Hurricane
1989,ERIN,8/18 - 8/27,90,968,Hurricane
1989,FELIX,8/26 - 9/10,75,979,Hurricane
1989,GABRIELLE,8/30 - 9/13,125,935,Hurricane
1989,HUGO,9/10 - 9/25,140,918,Hurricane
1989,IRIS,9/16 - 9/21,60,1001,Tropical Storm
1989,JERRY,10/12 - 10/16,75,982,Hurricane
1989,KAREN,11/28 - 12/4,50,1000,Tropical Storm
1989,NOT_NAMED,10/2 - 10/5,30,,Tropical Depression
1989,NOT_NAMED,8/27 - 8/28,25,,Tropical Depression
1989,NOT_NAMED,8/8 - 8/17,30,,Tropical Depression
1989,NOT_NAMED,6/15 - 6/17,25,,Tropical Depression
1988,ALBERTO,8/5 - 8/8,35,1002,Tropical Storm
1988,BERYL,8/8 - 8/10,45,1001,Tropical Storm
1988,CHRIS,8/21 - 8/30,45,1005,Tropical Storm
1988,DEBBY,8/31 - 9/8,65,987,Hurricane
1988,ERNESTO,9/3 - 9/5,55,994,Tropical Storm
1988,FLORENCE,9/7 - 9/11,70,982,Hurricane
1988,GILBERT,9/8 - 9/20,160,888,Hurricane
1988,HELENE,9/19 - 9/30,125,938,Hurricane
1988,ISAAC,9/28 - 10/1,40,1005,Tropical Storm
1988,JOAN:MIRIAM,10/10 - 11/2,125,932,Hurricane
1988,KEITH,11/17 - 11/26,65,945,Tropical Storm
1988,NOT_NAMED,10/19 - 10/21,30,,Tropical Depression
1988,NOT_NAMED,9/27 - 9/29,25,,Tropical Depression
1988,NOT_NAMED,9/7 - 9/10,50,994,Tropical Storm
1988,NOT_NAMED,9/4 - 9/4,30,,Tropical Depression
1988,NOT_NAMED,8/20 - 8/24,30,,Tropical Depression
1988,NOT_NAMED,8/20 - 8/31,30,,Tropical Depression
1988,NOT_NAMED,8/13 - 8/14,30,,Tropical Depression
1988,NOT_NAMED,5/31 - 6/2,25,,Tropical Depression
1987,ARLENE,8/8 - 8/28,65,987,Hurricane
1987,BRET,8/18 - 8/24,45,1000,Tropical Storm
1987,CINDY,9/5 - 9/10,45,1000,Tropical Storm
1987,DENNIS,9/8 - 9/20,45,1000,Tropical Storm
1987,EMILY,9/20 - 9/26,110,958,Hurricane
1987,FLOYD,10/9 - 10/14,65,993,Hurricane
1987,NOT_NAMED,10/31 - 11/4,30,,Tropical Depression
1987,NOT_NAMED,9/13 - 9/17,30,,Tropical Depression
1987,NOT_NAMED,9/7 - 9/8,30,,Tropical Depression
1987,NOT_NAMED,9/6 - 9/8,30,,Tropical Depression
1987,NOT_NAMED,8/30 - 9/2,30,,Tropical Depression
1987,NOT_NAMED,8/13 - 8/15,30,,Tropical Depression
1987,NOT_NAMED,8/9 - 8/17,40,1007,Tropical Storm
1987,NOT_NAMED,5/24 - 6/1,30,,Tropical Depression
1986,ANDREW,6/5 - 6/8,45,999,Tropical Storm
1986,BONNIE,6/23 - 6/28,75,990,Hurricane
1986,CHARLEY,8/13 - 8/30,70,980,Hurricane
1986,DANIELLE,9/7 - 9/10,50,1000,Tropical Storm
1986,EARL,9/10 - 9/20,90,979,Hurricane
1986,FRANCES,11/18 - 11/21,75,1000,Hurricane
1986,NOT_NAMED,9/1 - 9/4,30,,Tropical Depression
1986,NOT_NAMED,8/30 - 9/4,30,,Tropical Depression
1986,NOT_NAMED,8/4 - 8/5,30,,Tropical Depression
1986,NOT_NAMED,7/23 - 7/28,30,,Tropical Depression
1985,ANA,7/15 - 7/19,60,996,Tropical Storm
1985,BOB,7/21 - 7/26,65,1002,Hurricane
1985,CLAUDETTE,8/9 - 8/17,75,980,Hurricane
1985,DANNY,8/12 - 8/20,80,987,Hurricane
1985,ELENA,8/28 - 9/4,110,953,Hurricane
1985,FABIAN,9/15 - 9/19,55,994,Tropical Storm
1985,GLORIA,9/16 - 10/2,125,920,Hurricane
1985,HENRI,9/21 - 9/25,50,996,Tropical Storm
1985,ISABEL,10/7 - 10/15,60,997,Tropical Storm
1985,JUAN,10/26 - 11/1,75,971,Hurricane
1985,KATE,11/15 - 11/23,105,954,Hurricane
1985,NOT_NAMED,12/7 - 12/9,30,,Tropical Depression
1985,NOT_NAMED,9/11 - 9/13,30,,Tropical Depression
1985,NOT_NAMED,9/8 - 9/13,30,,Tropical Depression
1984,ARTHUR,8/28 - 9/5,45,1004,Tropical Storm
1984,BERTHA,8/30 - 9/4,35,1007,Tropical Storm
1984,CESAR,8/31 - 9/2,50,989,Tropical Storm
1984,DIANA,9/8 - 9/16,115,949,Hurricane
1984,EDOUARD,9/14 - 9/15,55,998,Tropical Storm
1984,FRAN,9/15 - 9/20,55,994,Tropical Storm
1984,GUSTAV,9/16 - 9/19,45,1006,Tropical Storm
1984,HORTENSE,9/23 - 10/2,65,993,Hurricane
1984,ISIDORE,9/25 - 10/1,50,999,Tropical Storm
1984,JOSEPHINE,10/7 - 10/21,90,965,Hurricane
1984,KLAUS,11/5 - 11/13,80,971,Hurricane
1984,LILI,12/12 - 12/24,70,980,Hurricane
1984,NOT_NAMED,11/23 - 11/28,30,,Tropical Depression
1984,NOT_NAMED,10/25 - 10/28,30,,Tropical Depression
1984,NOT_NAMED,9/6 - 9/8,30,,Tropical Depression
1984,NOT_NAMED,8/18 - 8/21,50,1000,Subtropical Storm
1984,NOT_NAMED,8/6 - 8/8,30,,Tropical Depression
1984,NOT_NAMED,7/24 - 7/26,30,,Tropical Depression
1984,NOT_NAMED,6/18 - 6/20,30,,Tropical Depression
1984,NOT_NAMED,6/11 - 6/14,30,,Tropical Depression
1983,ALICIA,8/15 - 8/21,100,962,Hurricane
1983,BARRY,8/23 - 8/29,70,986,Hurricane
1983,CHANTAL,9/10 - 9/15,65,994,Hurricane
1983,DEAN,9/26 - 9/30,55,999,Tropical Storm
1983,NOT_NAMED,7/27 - 8/2,30,,Tropical Depression
1983,NOT_NAMED,7/23 - 7/28,30,,Tropical Depression
1982,ALBERTO,6/2 - 6/6,75,985,Hurricane
1982,BERYL,8/28 - 9/6,60,989,Tropical Storm
1982,CHRIS,9/9 - 9/12,55,994,Tropical Storm
1982,DEBBY,9/13 - 9/20,115,950,Hurricane
1982,ERNESTO,9/30 - 10/3,60,997,Tropical Storm
1982,NOT_NAMED,9/24 - 9/27,30,,Tropical Depression
1982,NOT_NAMED,9/6 - 9/9,30,,Tropical Depression
1982,NOT_NAMED,6/18 - 6/20,60,984,Extratropical
1981,ARLENE,5/6 - 5/9,50,999,Tropical Storm
1981,BRET,6/29 - 7/1,60,996,Tropical Storm
1981,CINDY,8/2 - 8/5,50,1002,Tropical Storm
1981,DENNIS,8/7 - 8/22,70,995,Hurricane
1981,EMILY,8/31 - 9/12,80,966,Hurricane
1981,FLOYD,9/3 - 9/12,100,975,Hurricane
1981,GERT,9/7 - 9/15,90,988,Hurricane
1981,HARVEY,9/11 - 9/20,115,946,Hurricane
1981,IRENE,9/21 - 10/3,105,959,Hurricane
1981,JOSE,10/29 - 11/2,45,998,Tropical Storm
1981,KATRINA,11/3 - 11/7,75,980,Hurricane
1981,NOT_NAMED,11/12 - 11/17,60,978,Subtropical Storm
1981,NOT_NAMED,9/26 - 10/4,30,,Tropical Depression
1981,NOT_NAMED,9/12 - 9/14,30,,Tropical Depression
1981,NOT_NAMED,8/26 - 8/29,30,,Tropical Depression
1981,NOT_NAMED,8/17 - 8/21,30,,Tropical Depression
1981,NOT_NAMED,7/25 - 7/26,30,,Tropical Depression
1981,NOT_NAMED,7/2 - 7/4,30,,Tropical Depression
1981,NOT_NAMED,6/17 - 6/19,30,,Tropical Depression
1981,NOT_NAMED,6/3 - 6/5,30,,Tropical Depression
1981,NOT_NAMED,4/19 - 4/21,25,,Tropical Depression
1981,NOT_NAMED,4/6 - 4/7,30,,Tropical Depression
1980,ALLEN,7/31 - 8/11,165,899,Hurricane
1980,BONNIE,8/14 - 8/19,85,975,Hurricane
1980,CHARLEY,8/20 - 8/25,70,989,Hurricane
1980,DANIELLE,9/4 - 9/7,50,1004,Tropical Storm
1980,EARL,9/4 - 9/11,65,985,Hurricane
1980,FRANCES,9/6 - 9/21,100,958,Hurricane
1980,GEORGES,9/1 - 9/8,70,993,Hurricane
1980,HERMINE,9/20 - 9/26,60,993,Tropical Storm
1980,IVAN,10/1 - 10/12,90,970,Hurricane
1980,JEANNE,11/7 - 11/16,85,986,Hurricane
1980,KARL,11/25 - 11/28,75,985,Hurricane
1980,NOT_NAMED,11/12 - 11/18,30,,Tropical Depression
1980,NOT_NAMED,10/16 - 10/18,25,,Tropical Depression
1980,NOT_NAMED,8/25 - 8/29,30,,Tropical Depression
1980,NOT_NAMED,8/13 - 8/17,30,,Tropical Depression
1980,NOT_NAMED,7/22 - 7/26,30,,Tropical Depression
1980,NOT_NAMED,7/17 - 7/21,30,,Tropical Depression
1980,NOT_NAMED,7/17 - 7/21,25,,Tropical Depression
1979,ANA,6/19 - 6/24,50,1005,Tropical Storm
1979,BOB,7/9 - 7/16,65,986,Hurricane
1979,CLAUDETTE,7/15 - 7/29,45,997,Tropical Storm
1979,DAVID,8/25 - 9/8,150,924,Hurricane
1979,ELENA,8/30 - 9/2,35,1004,Tropical Storm
1979,FREDERIC,8/29 - 9/15,115,943,Hurricane
